            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000, -1.146425536929918E+05,  3.879425250182131E+05,  3.240268594415381E+04,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000, -1.922902750403255E+05,  3.563464285672468E+05,  3.475867033666820E+04,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000, -2.613877706917516E+05,  3.090533541401844E+05,  3.554944718646500E+04,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000, -3.188133004906315E+05,  2.481647504847542E+05,  3.473836726350195E+04,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000, -3.618848329165743E+05,  1.763261250844047E+05,  3.235255207935418E+04,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000, -3.884377290298477E+05,  9.665681370137972E+04,  2.848244713477613E+04,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000, -3.968982791264299E+05,  1.268049891821553E+04,  2.328109220268287E+04,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000, -3.863620324163252E+05, -7.174545663752742E+04,  1.696348786100740E+04,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000, -3.566857775513831E+05, -1.525108180015319E+05,  9.805952819975108E+03,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000, -3.085976560277670E+05, -2.253607114639151E+05,  2.144549542817316E+03,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000, -2.438192389615310E+05, -2.860561220583834E+05, -5.629460140369352E+03,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000, -1.651749235868408E+05, -3.306138342793257E+05, -1.308036216867986E+04,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000, -7.663926703636354E+04, -3.556424933619546E+05, -1.974883260276449E+04,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000,  1.674872754456016E+04, -3.587595382859466E+05, -2.518577617806623E+04,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000,  1.091736268321019E+05, -3.390197734075409E+05, -2.899824697460618E+04,
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000,  1.945555255559052E+05, -2.972311510099400E+05, -3.090007348993373E+04,
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000,  2.672148475748153E+05, -2.360209236307959E+05, -3.075376957568686E+04,
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000,  3.225277849715933E+05, -1.595815066882008E+05, -2.858977595758440E+04,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000,  3.573907855115501E+05, -7.314938154523639E+04, -2.459653458268059E+04,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000,  3.703904555175664E+05,  1.762672823611869E+04, -1.908635284323664E+04,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000,  3.616971936748621E+05,  1.072574067312402E+05, -1.244986574683055E+04,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000,  3.327861601403041E+05,  1.908192513873884E+05, -5.112113152243372E+03,
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000,  2.861030006357231E+05,  2.641793601725428E+05,  2.501974949637690E+03,
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000,  2.247559454591512E+05,  3.240777154372139E+05,  9.990852823260109E+03,
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000,  1.522692695205855E+05,  3.681244197179056E+05,  1.699033256044437E+04,
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000,  7.239922213918614E+04,  3.947594442825394E+05,  2.318145560809920E+04,
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000, -1.100295763784764E+04,  4.032045315941790E+05,  2.829514547943862E+04,
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000, -9.410010325036483E+04,  3.934203749974450E+05,  3.211559982678836E+04,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000, -1.731663748200124E+05,  3.660706671366955E+05,  3.448341588504348E+04,
