            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000,  2.221918418636804E+08,  3.328398054185467E+08, -1.168688145532871E+08,
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000,  2.210330007323554E+08,  3.335420268083593E+08, -1.172076300119004E+08,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000,  2.198711388770846E+08,  3.342397119375652E+08, -1.175448507274155E+08,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000,  2.187062728793592E+08,  3.349328525000157E+08, -1.178804725341541E+08,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000,  2.175384193313422E+08,  3.356214402229242E+08, -1.182144912788386E+08,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000,  2.163675948359773E+08,  3.363054668667520E+08, -1.185469028205399E+08,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000,  2.151938160070965E+08,  3.369849242250924E+08, -1.188777030306266E+08,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000,  2.140170994695309E+08,  3.376598041245579E+08, -1.192068877927144E+08,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000,  2.128374618592212E+08,  3.383300984246680E+08, -1.195344530026158E+08,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000,  2.116549198233295E+08,  3.389957990177395E+08, -1.198603945682911E+08,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000,  2.104694900203522E+08,  3.396568978287787E+08, -1.201847084097995E+08,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000,  2.092811891202342E+08,  3.403133868153740E+08, -1.205073904592507E+08,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000,  2.080900338044835E+08,  3.409652579675912E+08, -1.208284366607577E+08,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000,  2.068960407662874E+08,  3.416125033078700E+08, -1.211478429703894E+08,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000,  2.056992267106292E+08,  3.422551148909224E+08, -1.214656053561242E+08,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000,  2.044996083544059E+08,  3.428930848036321E+08, -1.217817197978046E+08,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000,  2.032972024265475E+08,  3.435264051649562E+08, -1.220961822870914E+08,
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000,  2.020920256681364E+08,  3.441550681258283E+08, -1.224089888274192E+08,
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000,  2.008840948325284E+08,  3.447790658690628E+08, -1.227201354339525E+08,
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000,  1.996734266854737E+08,  3.453983906092620E+08, -1.230296181335419E+08,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000,  1.984600380052408E+08,  3.460130345927227E+08, -1.233374329646813E+08,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000,  1.972439455827388E+08,  3.466229900973469E+08, -1.236435759774657E+08,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000,  1.960251662216425E+08,  3.472282494325525E+08, -1.239480432335492E+08,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000,  1.948037167385175E+08,  3.478288049391859E+08, -1.242508308061038E+08,
2459973.500000000, A.D. 2023-Jan-29 00:00:00.0000,  1.935796139629468E+08,  3.484246489894367E+08, -1.245519347797791E+08,
2459974.500000000, A.D. 2023-Jan-30 00:00:00.0000,  1.923528747376576E+08,  3.490157739867534E+08, -1.248513512506621E+08,
2459975.500000000, A.D. 2023-Jan-31 00:00:00.0000,  1.911235159186499E+08,  3.496021723657610E+08, -1.251490763262376E+08,
2459976.500000000, A.D. 2023-Feb-01 00:00:00.0000,  1.898915543753249E+08,  3.501838365921811E+08, -1.254451061253502E+08,
2459977.500000000, A.D. 2023-Feb-02 00:00:00.0000,  1.886570069906154E+08,  3.507607591627514E+08, -1.257394367781647E+08,
2459978.500000000, A.D. 2023-Feb-03 00:00:00.0000,  1.874198906611163E+08,  3.513329326051494E+08, -1.260320644261297E+08,
2459979.500000000, A.D. 2023-Feb-04 00:00:00.0000,  1.861802222972164E+08,  3.519003494779165E+08, -1.263229852219402E+08,
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000,  1.849380188232307E+08,  3.524630023703827E+08, -1.266121953295007E+08,
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000,  1.836932971775342E+08,  3.530208839025953E+08, -1.268996909238901E+08,
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000,  1.824460743126957E+08,  3.535739867252474E+08, -1.271854681913259E+08,
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000,  1.811963671956136E+08,  3.541223035196088E+08, -1.274695233291298E+08,
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000,  1.799441928076512E+08,  3.546658269974580E+08, -1.277518525456934E+08,
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000,  1.786895681447740E+08,  3.552045499010166E+08, -1.280324520604455E+08,
2459986.500000000, A.D. 2023-Feb-11 00:00:00.0000,  1.774325102176875E+08,  3.557384650028847E+08, -1.283113181038182E+08,
2459987.500000000, A.D. 2023-Feb-12 00:00:00.0000,  1.761730360519755E+08,  3.562675651059785E+08, -1.285884469172156E+08,
2459988.500000000, A.D. 2023-Feb-13 00:00:00.0000,  1.749111626882398E+08,  3.567918430434688E+08, -1.288638347529816E+08,
2459989.500000000, A.D. 2023-Feb-14 00:00:00.0000,  1.736469071822403E+08,  3.573112916787215E+08, -1.291374778743692E+08,
2459990.500000000, A.D. 2023-Feb-15 00:00:00.0000,  1.723802866050365E+08,  3.578259039052407E+08, -1.294093725555100E+08,
2459991.500000000, A.D. 2023-Feb-16 00:00:00.0000,  1.711113180431288E+08,  3.583356726466113E+08, -1.296795150813844E+08,
2459992.500000000, A.D. 2023-Feb-17 00:00:00.0000,  1.698400185986019E+08,  3.588405908564450E+08, -1.299479017477923E+08,
2459993.500000000, A.D. 2023-Feb-18 00:00:00.0000,  1.685664053892686E+08,  3.593406515183282E+08, -1.302145288613248E+08,
2459994.500000000, A.D. 2023-Feb-19 00:00:00.0000,  1.672904955488135E+08,  3.598358476457694E+08, -1.304793927393360E+08,
2459995.500000000, A.D. 2023-Feb-20 00:00:00.0000,  1.660123062269390E+08,  3.603261722821504E+08, -1.307424897099155E+08,
2459996.500000000, A.D. 2023-Feb-21 00:00:00.0000,  1.647318545895112E+08,  3.608116185006785E+08, -1.310038161118623E+08,
2459997.500000000, A.D. 2023-Feb-22 00:00:00.0000,  1.634491578187069E+08,  3.612921794043396E+08, -1.312633682946575E+08,
