Column1,Column2,Column3,Column4,Column5,Column6
"2423757.500000000, A.D. 1923-Dec-04 00",00,"00.0000, -2.624211510420087E+09,  2.376224744158598E+09, -1.124741507703745E+09,  2.668382091947015E+01, -5.327082108734448E+00, -1.223558921831786E+00,",,,
"2423788.500000000, A.D. 1924-Jan-04 00",00,"00.0000, -2.549840705791269E+09,  2.383540395730196E+09, -1.128007138615436E+09,  2.737196982006529E+01,  1.084873425240642E+01, -1.214294134191930E+00,",,,
"2423819.500000000, A.D. 1924-Feb-04 00",00,"00.0000, -2.485378842565223E+09,  2.432511687299208E+09, -1.131246257730924E+09,  1.948644516575534E+01,  2.497943032318760E+01, -1.205497831053624E+00,",,,
"2423848.500000000, A.D. 1924-Mar-04 00",00,"00.0000, -2.452031529791506E+09,  2.506010570203089E+09, -1.134254231821310E+09,  6.525962098364744E+00,  3.257944687889956E+01, -1.197698096211749E+00,",,,
"2423879.500000000, A.D. 1924-Apr-04 00",00,"00.0000, -2.455782848432958E+09,  2.595275339324680E+09, -1.137449693785240E+09, -9.285629955715219E+00,  3.267067814359906E+01, -1.190391269035979E+00,",,,
"2423909.500000000, A.D. 1924-May-04 00",00,"00.0000, -2.497665275914436E+09,  2.671672261784389E+09, -1.140525721554821E+09, -2.236633603070215E+01,  2.519606332456253E+01, -1.184318859074413E+00,",,,
"2423940.500000000, A.D. 1924-Jun-04 00",00,"00.0000, -2.569598229888463E+09,  2.722347692890038E+09, -1.143690427188489E+09, -3.019962233575709E+01,  1.199396682887403E+01, -1.178674712547520E+00,",,,
"2423970.500000000, A.D. 1924-Jul-04 00",00,"00.0000, -2.649935287489072E+09,  2.734356621249897E+09, -1.146741165944221E+09, -3.057601893634294E+01, -2.756659658593812E+00, -1.173846283689825E+00,",,,
"2424001.500000000, A.D. 1924-Aug-04 00",00,"00.0000, -2.723917695421144E+09,  2.708103017807526E+09, -1.149881090603842E+09, -2.350611391204266E+01, -1.626464403737689E+01, -1.168913840558368E+00,",,,
"2424032.500000000, A.D. 1924-Sep-04 00",00,"00.0000, -2.770560483055256E+09,  2.651962429636378E+09, -1.153006790815418E+09, -1.056701115895685E+01, -2.456601094304166E+01, -1.163816042264692E+00,",,,
"2424062.500000000, A.D. 1924-Oct-04 00",00,"00.0000, -2.778586179523126E+09,  2.585561422335455E+09, -1.156015404362372E+09,  4.505294514222284E+00, -2.539313758895893E+01, -1.157673714670990E+00,",,,
"2424093.500000000, A.D. 1924-Nov-04 00",00,"00.0000, -2.746820362229357E+09,  2.525412808176869E+09, -1.159104009825626E+09,  1.862879612520465E+01, -1.822387936731151E+01, -1.149816835720415E+00,",,,
"2424123.500000000, A.D. 1924-Dec-04 00",00,"00.0000, -2.686220694410439E+09,  2.494150005960357E+09, -1.162070109997081E+09,  2.699784751637240E+01, -5.113522004223173E+00, -1.140572006314566E+00,",,,
"2424154.500000000, A.D. 1925-Jan-04 00",00,"00.0000, -2.611295708001355E+09,  2.502020104803427E+09, -1.165109682063905E+09,  2.745275032699793E+01,  1.106273639292074E+01, -1.130130864565583E+00,",,,
"2424185.500000000, A.D. 1925-Feb-04 00",00,"00.0000, -2.546837496678946E+09,  2.551408280433720E+09, -1.168123580528654E+09,  1.937687271497901E+01,  2.506801989678772E+01, -1.120149583057687E+00,",,,
"2424213.500000000, A.D. 1925-Mar-04 00",00,"00.0000, -2.514418255985446E+09,  2.622131753484951E+09, -1.170825996508423E+09,  6.825236742161746E+00,  3.235162525003918E+01, -1.112816867452320E+00,",,,
"2424244.500000000, A.D. 1925-Apr-04 00",00,"00.0000, -2.517315273671555E+09,  2.710903078604417E+09, -1.173799143612542E+09, -8.975764801453053E+00,  3.250325700479974E+01, -1.105946958904822E+00,",,,
"2424274.500000000, A.D. 1925-May-04 00",00,"00.0000, -2.558418382225101E+09,  2.786992627009604E+09, -1.176661446557843E+09, -2.207967930526462E+01,  2.508602060633757E+01, -1.101112448073041E+00,",,,
"2424305.500000000, A.D. 1925-Jun-04 00",00,"00.0000, -2.629671725633649E+09,  2.837475472899100E+09, -1.179606745652559E+09, -2.995892185497427E+01,  1.192833863818704E+01, -1.097598411084872E+00,",,,
"2424335.500000000, A.D. 1925-Jul-04 00",00,"00.0000, -2.709515542513333E+09,  2.849349221092345E+09, -1.182446641928083E+09, -3.039774707027458E+01, -2.806893748217506E+00, -1.094374965013396E+00,",,,
"2424366.500000000, A.D. 1925-Aug-04 00",00,"00.0000, -2.783158150205099E+09,  2.822924585893188E+09, -1.185370329389221E+09, -2.339743823908296E+01, -1.632693398866331E+01, -1.090406406262200E+00,",,,
"2424397.500000000, A.D. 1925-Sep-04 00",00,"00.0000, -2.829600182752267E+09,  2.766503365024300E+09, -1.188280934437351E+09, -1.051684774976898E+01, -2.467957669499164E+01, -1.084531790307643E+00,",,,
"2424427.500000000, A.D. 1925-Oct-04 00",00,"00.0000, -2.837495969111424E+09,  2.699671281087718E+09, -1.191082089649022E+09,  4.536561006738355E+00, -2.558061335225858E+01, -1.077364755525993E+00,",,,
"2424458.500000000, A.D. 1925-Nov-04 00",00,"00.0000, -2.805572372771567E+09,  2.638898635970049E+09, -1.193957046984508E+09,  1.868584429791538E+01, -1.849357637762014E+01, -1.068547293238730E+00,",,,
"2424488.500000000, A.D. 1925-Dec-04 00",00,"00.0000, -2.744704715905179E+09,  2.606891601695024E+09, -1.196717468965865E+09,  2.711958503947688E+01, -5.433172860287334E+00, -1.059618507690177E+00,",,,
"2424519.500000000, A.D. 1926-Jan-04 00",00,"00.0000, -2.669321360454946E+09,  2.613930369071367E+09, -1.199545659337531E+09,  2.766393826705694E+01,  1.073626504511771E+01, -1.050624723123611E+00,",,,
"2424550.500000000, A.D. 1926-Feb-04 00",00,"00.0000, -2.604211466700832E+09,  2.662537357108310E+09, -1.202349818257810E+09,  1.966537241074006E+01,  2.478820939757809E+01, -1.042724876860422E+00,",,,
"2424578.500000000, A.D. 1926-Mar-04 00",00,"00.0000, -2.571090605133455E+09,  2.732682591143497E+09, -1.204863992274098E+09,  7.146024145286370E+00,  3.213368619980833E+01, -1.036113154783751E+00,",,,
"2424609.500000000, A.D. 1926-Apr-04 00",00,"00.0000, -2.573167567874070E+09,  2.820993729353929E+09, -1.207630267184924E+09, -8.656479203177993E+00,  3.237416081438224E+01, -1.030715026435397E+00,",,,
"2424639.500000000, A.D. 1926-May-04 00",00,"00.0000, -2.613533782968243E+09,  2.896810928415310E+09, -1.210293306366891E+09, -2.180423578648399E+01,  2.502462781777353E+01, -1.026138563276334E+00,",,,
"2424670.500000000, A.D. 1926-Jun-04 00",00,"00.0000, -2.684158621382385E+09,  2.947136661660650E+09, -1.213033529510100E+09, -2.976126147703270E+01,  1.190328417292831E+01, -1.021529630343473E+00,",,,
"2424700.500000000, A.D. 1926-Jul-04 00",00,"00.0000, -2.763559318921615E+09,  2.958898774160975E+09, -1.215675366504688E+09, -3.027584762995533E+01, -2.838978581668331E+00, -1.017174851616070E+00,",,,
"2424731.500000000, A.D. 1926-Aug-04 00",00,"00.0000, -2.836913160719082E+09,  2.932318480075336E+09, -1.218394832044899E+09, -2.333754748980766E+01, -1.640737790809956E+01, -1.012343243234673E+00,",,,
"2424762.500000000, A.D. 1926-Sep-04 00",00,"00.0000, -2.883195847692067E+09,  2.875625011618836E+09, -1.221102091661328E+09, -1.048264359647348E+01, -2.482738462652425E+01, -1.007313093446138E+00,",,,
"2424792.500000000, A.D. 1926-Oct-04 00",00,"00.0000, -2.890993490936924E+09,  2.808375365129737E+09, -1.223707858207748E+09,  4.575865722036544E+00, -2.579375643873610E+01, -1.001683036908027E+00,",,,
"2424823.500000000, A.D. 1926-Nov-04 00",00,"00.0000, -2.858940124832277E+09,  2.746997878535038E+09, -1.226382424818937E+09,  1.876620549957134E+01, -1.876078146482104E+01, -9.950028889373685E-01,",,,
"2424853.500000000, A.D. 1926-Dec-04 00",00,"00.0000, -2.797836687394731E+09,  2.714272826621476E+09, -1.228950347096927E+09,  2.726012180603452E+01, -5.728799966807626E+00, -9.873653247808674E-01,",,,
"2424884.500000000, A.D. 1927-Jan-04 00",00,"00.0000, -2.722031501628225E+09,  2.720511888786044E+09, -1.231581077551564E+09,  2.787238719210964E+01,  1.045329089918202E+01, -9.788448254680913E-01,",,,
"2424915.500000000, A.D. 1927-Feb-04 00",00,"00.0000, -2.656314153429636E+09,  2.768369173203124E+09, -1.234188633634964E+09,  1.992121115587742E+01,  2.455082330574636E+01, -9.699445543641616E-01,",,,
"2424943.500000000, A.D. 1927-Mar-04 00",00,"00.0000, -2.622529664329332E+09,  2.837953004442286E+09, -1.236525585468566E+09,  7.429906121308667E+00,  3.195458771010085E+01, -9.632013477710082E-01,",,,
"2424974.500000000, A.D. 1927-Apr-04 00",00,"00.0000, -2.623835029270045E+09,  2.925825274431311E+09, -1.239096170087834E+09, -8.391812281186763E+00,  3.225558494957724E+01, -9.562834236199809E-01,",,,
"2425004.500000000, A.D. 1927-May-04 00",00,"00.0000, -2.663507517368933E+09,  3.001383044225252E+09, -1.241570424790707E+09, -2.157792877573395E+01,  2.494818059570880E+01, -9.514272461293665E-01,",,,
"2425035.500000000, A.D. 1927-Jun-04 00",00,"00.0000, -2.733544462938754E+09,  3.051558634759943E+09, -1.244116283223475E+09, -2.958216899227696E+01,  1.184352123773204E+01, -9.479079075285992E-01,",,,
"2425065.500000000, A.D. 1927-Jul-04 00",00,"00.0000, -2.812532913747244E+09,  3.063219782345921E+09, -1.246571279560077E+09, -3.014695669266760E+01, -2.899508520233580E+00, -9.451329778239678E-01,",,,
"2425096.500000000, A.D. 1927-Aug-04 00",00,"00.0000, -2.885624026218383E+09,  3.036498561791250E+09, -1.249098974730334E+09, -2.325271469674619E+01, -1.648797804924996E+01, -9.422336409174612E-01,",,,
"2425127.500000000, A.D. 1927-Sep-04 00",00,"00.0000, -2.931774843147014E+09,  2.979555158630448E+09, -1.251615705999493E+09, -1.043211773146529E+01, -2.494644309868956E+01, -9.381011041711425E-01,",,,
"2425157.500000000, A.D. 1927-Oct-04 00",00,"00.0000, -2.939507266967675E+09,  2.911907910694227E+09, -1.254037712799078E+09,  4.614577746761260E+00, -2.596747081339198E+01, -9.323392537470916E-01,",,,
"2425188.500000000, A.D. 1927-Nov-04 00",00,"00.0000, -2.907359779820731E+09,  2.849945379564263E+09, -1.256523115521625E+09,  1.881833222816411E+01, -1.898999761348114E+01, -9.245204735983412E-01,",,,
"2425218.500000000, A.D. 1927-Dec-04 00",00,"00.0000, -2.846055579999060E+09,  2.816516808508734E+09, -1.258908544771694E+09,  2.735579206723521E+01, -5.999914396544494E+00, -9.159296498884602E-01,",,,
"2425249.500000000, A.D. 1928-Jan-04 00",00,"00.0000, -2.769870429587085E+09,  2.821969505263923E+09, -1.261351292069100E+09,  2.802923475457791E+01,  1.016290669685550E+01, -9.067885411596230E-01,",,,
"2425280.500000000, A.D. 1928-Feb-04 00",00,"00.0000, -2.703588693582902E+09,  2.869081040986248E+09, -1.263771851167621E+09,  2.014708002109210E+01,  2.427786501130844E+01, -8.990108290050198E-01,",,,
"2425309.500000000, A.D. 1928-Mar-04 00",00,"00.0000, -2.668531197462389E+09,  2.940857907541596E+09, -1.266018376374302E+09,  7.192236047771035E+00,  3.187955850668155E+01, -8.929515064603901E-01,",,,
"2425340.500000000, A.D. 1928-Apr-04 00",00,"00.0000, -2.670461974379578E+09,  3.028303770796272E+09, -1.268403846356811E+09, -8.606060008455781E+00,  3.197536437418912E+01, -8.883380837012922E-01,",,,
"2425370.500000000, A.D. 1928-May-04 00",00,"00.0000, -2.710597427882502E+09,  3.102965360484437E+09, -1.270700113424754E+09, -2.168290746208397E+01,  2.451370389334825E+01, -8.847404849595026E-01,",,,
"2425401.500000000, A.D. 1928-Jun-04 00",00,"00.0000, -2.780747241814358E+09,  3.151865100386062E+09, -1.273063069865159E+09, -2.951817633007505E+01,  1.133225995364357E+01, -8.815100725581959E-01,",,,
"2425431.500000000, A.D. 1928-Jul-04 00",00,"00.0000, -2.859386812255878E+09,  3.162167428732259E+09, -1.275341391094060E+09, -2.990739392381124E+01, -3.403133597177169E+00, -8.781301309450664E-01,",,,
"2425462.500000000, A.D. 1928-Aug-04 00",00,"00.0000, -2.931642656434103E+09,  3.134156032629698E+09, -1.277686804978677E+09, -2.286246637393654E+01, -1.689955471713266E+01, -8.737140148782014E-01,",,,
"2425493.500000000, A.D. 1928-Sep-04 00",00,"00.0000, -2.976588207209569E+09,  3.076253855589846E+09, -1.280021340699293E+09, -9.952035604052448E+00, -2.520797207080015E+01, -8.684143787149843E-01,",,,
"2425523.500000000, A.D. 1928-Oct-04 00",00,"00.0000, -2.982991463986067E+09,  3.008134425527988E+09, -1.282267693937429E+09,  5.105865844280911E+00, -2.605288974781011E+01, -8.627689949506063E-01,",,,
"2425554.500000000, A.D. 1928-Nov-04 00",00,"00.0000, -2.949562017238404E+09,  2.946193366125803E+09, -1.284572351090430E+09,  1.923154251886563E+01, -1.890960497601196E+01, -8.564525689474882E-01,",,,
